"2REL","4","1","TWM1","","Religious Education Level 2","12","NCEA Level 2","Religious Education","STC","26","/ 91","2026TT","2REL||4|1|0|STC|TWM1|26|91|||8|1|0||"
"3REL","3","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","STC","20","/ 116","2026TT","3REL||3|1|0|STC|TWM1|20|116|||8|1|0||"
"3REL","2","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","STC","25","/ 116","2026TT","3REL||2|1|0|STC|TWM1|25|116|||8|1|0||"
"3REL","1","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","STC","23","/ 116","2026TT","3REL||1|1|0|STC|TWM1|23|116|||8|1|0||"
"3PHY","1","1","TWM4","","Physics Level 3","13","NCEA Level 3","Science","CRR","18","/ 18","2026TT","3PHY||1|1|0|CRR|TWM4|18|18|||8|1|0||"
"2REL","1","1","NC5","","Religious Education Level 2","12","NCEA Level 2","Religious Education","CHI","25","/ 91","2026TT","2REL||1|1|0|CHI|NC5|25|91|||8|1|0||"
"3CHE","1","1","TWM5","","Chemistry Level 3","13","NCEA Level 3","Science","BDI","22","/ 32","2026TT","3CHE||1|1|0|BDI|TWM5|22|32|||8|1|0||"
"2GEO","1","1","TWM17","","Geography Level 2","12","NCEA Level 2","Social Science","RCH","13","/ 13","2026TT","2GEO||1|1|0|RCH|TWM17|13|13|||8|1|0||"
"2MTC","5","1","PR9","","Combined Maths Level 2","12","NCEA Level 2","Mathematics","RFD","16","/ 35","2026TT","2MTC||5|1|0|RFD|PR9|16|35|||8|1|0||"
"2GTY","2","1","PR3","","Gateway Year 12","12","NCEA Level 2","Career Pathways","GNA","16","/ 18","2026TT","2GTY||2|1|0|GNA|PR3|16|18|||8|1|0|47|200001724"
"3GTY","2","1","PR3","","Gateway Year 13","13","NCEA Level 3","Career Pathways","GNA","3","/ 9","2026TT","3GTY||2|1|0|GNA|PR3|3|9|||8|1|0|47|200001724"
"2ENP","2","1","SN8","","Practical English Level 2","12","NCEA Level 2","English","FNZ","18","/ 37","2026TT","2ENP||2|1|0|FNZ|SN8|18|37|||8|1|0||"
"2ELL","6","1","SN4","","English Language Level 2","12","NCEA Level 2","English Language","TOA","20","/ 20","2026TT","2ELL||6|1|0|TOA|SN4|20|20|||8|1|0||"
"1ELL","3","1","SN4","","English Language Level 1","11","Year 11 Diploma","English Language","TOA","18","/ 18","2026TT","1ELL||3|1|0|TOA|SN4|18|18|||8|1|0||"
"3ELL","1","1","SN4","","English Language Level 3","13","NCEA Level 3","English","TOA","7","/ 7","2026TT","3ELL||1|1|0|TOA|SN4|7|7|||8|1|0||"
"2PED","2","1","","","Physical Education Level 2","12","NCEA Level 2","Health & PE","","0","/ 0","2026TT","2PED||2|1|0|||0|0|||8|1|0||"
"3ENG","5","1","SN7","","Academic English Level 3","13","NCEA Level 3","English","KNY","17","/ 18","2026TT","3ENG||5|1|0|KNY|SN7|17|18|||8|1|0||"
"2PTW","3","1","PR3","","Career Pathways Year 12","12","NCEA Level 2","Career Pathways","GNA","7","/ 17","2026TT","2PTW||3|1|0|GNA|PR3|7|17|||8|1|0|23|200001724"
"3PTW","3","1","PR3","","Career Pathways Year 13","13","NCEA Level 3","Career Pathways","GNA","8","/ 15","2026TT","3PTW||3|1|0|GNA|PR3|8|15|||8|1|0|23|200001724"
"2MUS","6","1","MUSIC","","Music Level 2","12","NCEA Level 2","Music","LIU","8","/ 8","2026TT","2MUS||6|1|0|LIU|MUSIC|8|8|||8|1|0|13|200001720"
"3MUS","6","1","MUSIC","","Music Level 3","13","NCEA Level 3","Music","LIU","5","/ 7","2026TT","3MUS||6|1|0|LIU|MUSIC|5|7|||8|1|0|13|200001720"
"1MUS","4","1","MUSIC","","Music Level 1","11","Year 11 Diploma","Music","LIU","10","/ 10","2026TT","1MUS||4|1|0|LIU|MUSIC|10|10|||8|1|0|12|200001720"
"3BIO","4","1","TWM8","","Biology Level 3","13","NCEA Level 3","Science","TLG","13","/ 72","2026TT","3BIO||4|1|0|TLG|TWM8|13|72|||8|1|0||"
"3MAT","4","1","PR1","","Mathematics Level 3","13","NCEA Level 3","Mathematics","SON","13","/ 14","2026TT","3MAT||4|1|0|SON|PR1|13|14|||8|1|0||"
"2MAT","1","1","PR1","","Mathematics Level 2","12","NCEA Level 2","Mathematics","SON","30","/ 48","2026TT","2MAT||1|1|0|SON|PR1|30|48|||8|1|0||"
"3APH","5","1","LIBC","","Art Photography Level 3","13","NCEA Level 3","Art","SLG","14","/ 17","2026TT","3APH||5|1|0|SLG|LIBC|14|17|||8|1|0||"
"3ARP","3","1","MN10","","Art Painting Level 3","13","NCEA Level 3","Art","SLG","16","/ 16","2026TT","3ARP||3|1|0|SLG|MN10|16|16|||8|1|0||"
"1ART","2","1","MN10","","Visual Art Level 1","11","Year 11 Diploma","ART","SLG","27","/ 54","2026TT","1ART||2|1|0|SLG|MN10|27|54|||8|1|0||"
"2APH","1","1","LIBC","","Art Photography Level 2","12","NCEA Level 2","Art","SLG","10","/ 10","2026TT","2APH||1|1|0|SLG|LIBC|10|10|||8|1|0|13|200001712"
"2DNC","3","1","RS4","","Dance Level 2","12","NCEA Level 2","Dance","RSN","13","/ 13","2026TT","2DNC||3|1|0|RSN|RS4|13|13|||8|1|0|21|200001709"
"3DNC","3","1","RS4","","Dance Level 3","13","NCEA Level 3","Dance","RSN","8","/ 8","2026TT","3DNC||3|1|0|RSN|RS4|8|8|||8|1|0|21|200001709"
"3MTC","6","1","PR9","","Combined Mathematics Level 3","13","NCEA Level 3","Mathematics","RFD","19","/ 19","2026TT","3MTC||6|1|0|RFD|PR9|19|19|||8|1|0||"
"2MAS","3","1","PR9","","Statistics Level 2","12","NCEA Level 2","Mathematics","RFD","22","/ 22","2026TT","2MAS||3|1|0|RFD|PR9|22|22|||8|1|0||"
"2SOS","4","1","TWM13","","Social Studies Level 2","12","NCEA Level 2","Social Science","PTO","22","/ 24","2026TT","2SOS||4|1|0|PTO|TWM13|22|24|||8|1|0||"
"2HIS","1","1","TWM15","","History Level 2","12","NCEA Level 2","Social Science","PTO","14","/ 14","2026TT","2HIS||1|1|0|PTO|TWM15|14|14|||8|1|0|15|200001706"
"3MAC","6","1","CG3","","Calculus Level 3","13","NCEA Level 3","Mathematics","PNH","16","/ 31","2026TT","3MAC||6|1|0|PNH|CG3|16|31|||8|1|0||"
"3HLH","2","1","CG2","","Health Level 3","13","NCEA Level 3","Health & PE","PHS","27","/ 27","2026TT","3HLH||2|1|0|PHS|CG2|27|27|||8|1|0||"
"2HLH","1","1","SN10","","Health Level 2","12","NCEA Level 2","Health & PE","PHS","14","/ 14","2026TT","2HLH||1|1|0|PHS|SN10|14|14|||8|1|0||"
"2ENG","5","1","SN5","","Academic English Level 2","12","NCEA Level 2","English","MST","25","/ 51","2026TT","2ENG||5|1|0|MST|SN5|25|51|||8|1|0||"
"3MAS","6","1","PR2","","Statistics Level 3","13","NCEA Level 3","Mathematics","MSL","22","/ 22","2026TT","3MAS||6|1|0|MSL|PR2|22|22|||8|1|0||"
"1MAS","1","1","PR2","","Mathematics with Statistics Level 1","11","Year 11 Diploma","Mathematics","MSL","29","/ 29","2026TT","1MAS||1|1|0|MSL|PR2|29|29|||8|1|0||"
"2DRA","6","1","RS5","","Drama Level 2","12","NCEA Level 2","Drama","LMB","11","/ 11","2026TT","2DRA||6|1|0|LMB|RS5|11|11|||8|1|0||"
"2ECO","3","1","TWM13","","Economics Level 2","12","NCEA Level 2","Social Science","JLM","5","/ 5","2026TT","2ECO||3|1|0|JLM|TWM13|5|5|||8|1|0|15|200001695"
"3ECO","3","1","TWM13","","Economics Level 3","13","NCEA Level 3","Social Science","JLM","10","/ 10","2026TT","3ECO||3|1|0|JLM|TWM13|10|10|||8|1|0|15|200001695"
"2JPN","4","1","SN2","","Japanese Level 2","12","NCEA Level 2","Languages","ITO","3","/ 3","2026TT","2JPN||4|1|0|ITO|SN2|3|3|||8|1|0|6|200001694"
"3JPN","4","1","SN2","","Japanese Level 3","13","NCEA Level 3","Languages","ITO","3","/ 3","2026TT","3JPN||4|1|0|ITO|SN2|3|3|||8|1|0|6|200001694"
"1CDG","5","1","PR11","","Coding Level 1","11","Year 11 Diploma","Technology","HHN","7","/ 7","2026TT","1CDG||5|1|0|HHN|PR11|7|7|||8|1|0|10|200001693"
"2CDG","5","1","PR11","","Coding Level 2","12","NCEA Level 2","Technology","HHN","1","/ 1","2026TT","2CDG||5|1|0|HHN|PR11|1|1|||8|1|0|10|200001693"
"3CDG","5","1","PR11","","Coding Level 3","13","NCEA Level 3","Technology","HHN","2","/ 2","2026TT","3CDG||5|1|0|HHN|PR11|2|2|||8|1|0|10|200001693"
"1TTE","4","1","PR5","","Textiles Technology Level 1","11","Year 11 Diploma","Technology","HHN","9","/ 9","2026TT","1TTE||4|1|0|HHN|PR5|9|9|||8|1|0|20|200001693"
